code,nombre,Cleanliness,Location,Service,rating_Excellent,rating_Poor,rating_Terrible,rating_Very Good,number_of_reviews,stars
JH334,Eurostars Casa de la Lirica,4.3,4.7,4.2,162.0,27.0,28.0,159.0,411.0,4.0
EC230,Posada del Leon de Oro,4.6,4.8,4.4,393.0,25.0,28.0,222.0,731.0,4.5
TR372,Velazquez 45 by Pillow,4.5,4.7,4.0,48.0,4.0,4.0,29.0,97.0,4.0
JH9,Mexico,,,,23.0,15.0,15.0,57.0,152.0,3.5
EC495,Hostal Met Madrid,,,,229.0,6.0,1.0,66.0,309.0,4.5
TR386,MH Apartments Central Madrid,4.7,4.8,4.4,18.0,0.0,1.0,8.0,29.0,4.5
AA403,Hostal Nuestra Senora de la Paloma,3.8,4.7,3.9,66.0,20.0,16.0,79.0,230.0,3.5
EX704,Hostal Camino,2.3,4.0,2.1,,,,,45.0,2.0
JH10,B&B Ganesh Home,,,,,,,,3.0,4.5
BW600,Estuhome,,,,,,,,3.0,3.5
TH79,Hostal Barrera,4.8,4.7,4.7,192.0,3.0,2.0,104.0,317.0,4.5
TH733,Hostal Emilio Barajas,,,,2.0,11.0,34.0,9.0,73.0,2.0
EC728,SmartRentals La Latina,,,,1.0,0.0,8.0,0.0,9.0,1.5
BW309,NH Madrid Zurbano,4.4,4.4,4.3,465.0,34.0,29.0,448.0,1113.0,4.0
JH264,Hotel Petit Palace President Castellana,3.9,4.5,4.1,490.0,78.0,52.0,470.0,1325.0,4.0
AA16,Petit Palace Plaza del Carmen,4.3,4.8,4.4,531.0,31.0,17.0,383.0,1082.0,4.5
TR642,Abracadabra Suites,,,,9.0,9.0,14.0,28.0,69.0,3.0
AA684,Hostal Berlin Madrid,,,,1.0,3.0,5.0,2.0,15.0,2.5
TH336,Hotel Suites Barrio de Salamanca,4.2,4.4,4.1,37.0,6.0,7.0,59.0,147.0,4.0
EX30,Hostal Lopez,,,,9.0,8.0,4.0,40.0,76.0,3.5
EX198,Hostal Madrid,4.5,4.9,4.3,218.0,13.0,6.0,155.0,427.0,4.5
