fighter_name,Weight,Height
Arlene Blencowe,145 lbs.,"5' 5"""
Arman Tsarukyan,155 lbs.,"5' 7"""
Armando Villarreal,145 lbs.,"5' 7"""
Arnold Allen,145 lbs.,"5' 8"""
Art Arciniega,145 lbs.,"5' 8"""
Art Jimmerson,196 lbs.,"6' 1"""
Art Santore,185 lbs.,"6' 2"""
Artem Frolov,185 lbs.,"5' 10"""
Artem Lobov,145 lbs.,"5' 9"""
Artenus Young,205 lbs.,
Artur Oumakhanov,154 lbs.,"5' 7"""
Asbel Cancio,225 lbs.,"5' 10"""
Ashe Bowman,155 lbs.,"5' 9"""
Ashkan Mokhtarian,125 lbs.,"5' 6"""
Ashlee Evans-Smith,125 lbs.,"5' 8"""
Ashley Yoder,115 lbs.,"5' 7"""
Aspen Ladd,135 lbs.,"5' 6"""
Assuerio Silva,241 lbs.,"5' 10"""
Atsushi Yamamoto,139 lbs.,"5' 6"""
Augusto Mendes,135 lbs.,"5' 6"""
Augusto Montano,170 lbs.,"6' 1"""
Augusto Sakai,265 lbs.,"6' 3"""
Aurelijus Kerpe,,
Austen Lane,245 lbs.,"6' 6"""
Austin Arnett,145 lbs.,"6' 0"""
Austin Hubbard,155 lbs.,"5' 10"""
Austin Springer,145 lbs.,"5' 8"""
Austin Tweedy,155 lbs.,"5' 9"""
Austin Vanderford,170 lbs.,"5' 11"""
Azamat Gashimov,125 lbs.,"5' 6"""
Azamat Murzakanov,205 lbs.,"5' 11"""
BJ Penn,155 lbs.,"5' 9"""
Bao Quach,145 lbs.,"5' 3"""
Barb Honchak,125 lbs.,"5' 4"""
Bart Palaszewski,145 lbs.,"5' 9"""
Bartosz Fabinski,170 lbs.,"6' 0"""
Baru Harn,265 lbs.,
Bas Rutten,205 lbs.,"6' 1"""
Bazigit Atajev,230 lbs.,"6' 1"""
Bea Malecki,135 lbs.,"5' 9"""
Bec Rawlings,125 lbs.,"5' 6"""
Belal Muhammad,170 lbs.,"5' 11"""
Ben Askren,170 lbs.,"5' 11"""
Ben Earwood,170 lbs.,"5' 8"""
Ben Holscher,155 lbs.,"5' 11"""
Ben Jones,185 lbs.,
Ben Lagman,185 lbs.,"6' 2"""
Ben Nguyen,125 lbs.,"5' 5"""
Ben Reiter,185 lbs.,"6' 3"""
Ben Rothwell,265 lbs.,"6' 4"""
Ben Saunders,170 lbs.,"6' 2"""
Ben Wall,155 lbs.,"5' 10"""
Bendy Casimir,145 lbs.,"5' 5"""
Beneil Dariush,155 lbs.,"5' 10"""
Benito Lopez,135 lbs.,"5' 10"""
Benji Radach,185 lbs.,"5' 10"""
Benny Alloway,170 lbs.,"5' 11"""
Benson Henderson,170 lbs.,"5' 9"""
Bentley Syler,125 lbs.,"5' 4"""
Bernardo Magalhaes,155 lbs.,"5' 9"""
Bertrand Amoussou,190 lbs.,"5' 8"""
Besam Yousef,170 lbs.,"5' 11"""
Bethe Correia,135 lbs.,"5' 5"""
Bevon Lewis,185 lbs.,"6' 3"""
Bharat Kandare,135 lbs.,"5' 7"""
Bibiano Fernandes,139 lbs.,"5' 7"""
Bill Algeo,145 lbs.,"6' 0"""
Bill Cooper,155 lbs.,
Bill Duvall,185 lbs.,"6' 2"""
Bill Mahood,200 lbs.,"6' 3"""
Billy Evangelista,155 lbs.,"5' 8"""
Billy Giovanella,125 lbs.,"5' 8"""
Billy Miles,170 lbs.,"5' 10"""
Billy Quarantillo,155 lbs.,"5' 10"""
Billy Vaughan,155 lbs.,"5' 6"""
Blagoy Ivanov,250 lbs.,"5' 11"""
Blair Tugman,135 lbs.,"6' 0"""
Blake Bowman,170 lbs.,"6' 2"""
Blake Watkins,185 lbs.,
Blas Avena,170 lbs.,"6' 0"""
Bo Cantrell,235 lbs.,"6' 2"""
Bob Cook,170 lbs.,"5' 9"""
Bob Gilstrap,200 lbs.,"6' 3"""
Bob Sapp,350 lbs.,"6' 5"""
Bob Schrijber,240 lbs.,"6' 0"""
Bobby Cooper,155 lbs.,"6' 1"""
Bobby Escalante,130 lbs.,
Bobby Flynn,170 lbs.,
Bobby Green,155 lbs.,"5' 10"""
Bobby Hoffman,245 lbs.,"6' 2"""
Bobby Lashley,255 lbs.,"6' 3"""
Bobby McAndrews,,
Bobby Moffett,145 lbs.,"5' 10"""
Bobby Nash,170 lbs.,"6' 0"""
Bobby Sanchez,155 lbs.,"5' 7"""
Bobby Southworth,205 lbs.,"6' 2"""
Bobby Stack,155 lbs.,"5' 9"""
Bobby Voelker,170 lbs.,"6' 0"""
Bojan Mihajlovic,205 lbs.,"5' 11"""
Bojan Velickovic,170 lbs.,"6' 0"""
Booker DeRousse,205 lbs.,"6' 2"""
Boston Salmon,135 lbs.,"5' 9"""
Brad Blackburn,170 lbs.,"5' 10"""
Brad Gumm,170 lbs.,"5' 11"""
Brad Imes,265 lbs.,"6' 7"""
Brad Katona,135 lbs.,"5' 6"""
Brad Kohler,220 lbs.,"5' 9"""
Brad Mitchell,145 lbs.,"5' 11"""
Brad Morris,205 lbs.,"6' 2"""
Brad Pickett,135 lbs.,"5' 6"""
Brad Royster,135 lbs.,
Brad Tavares,185 lbs.,"6' 1"""
Bradley Scott,170 lbs.,"6' 1"""
Brady Fink,183 lbs.,"6' 0"""
Branden Lee Hinkle,235 lbs.,"6' 3"""
Brandon Cash,255 lbs.,"6' 5"""
Brandon Davis,135 lbs.,"5' 10"""
Brandon Foxworth,145 lbs.,"5' 11"""
Brandon Gaines,185 lbs.,"6' 3"""
Brandon Girtz,155 lbs.,"5' 7"""
Brandon Halsey,185 lbs.,"6' 0"""
Brandon Hester,205 lbs.,"6' 1"""
Brandon Lowe,155 lbs.,
Brandon Magana,170 lbs.,
Brandon Melendez,155 lbs.,"5' 11"""
Brandon Michaels,185 lbs.,"5' 9"""
Brandon Moreno,125 lbs.,"5' 7"""
Brandon Polcare,125 lbs.,
Brandon Saling,170 lbs.,"5' 10"""
Brandon Sene,205 lbs.,"5' 11"""
Brandon Shuey,155 lbs.,"5' 7"""
Brandon Thatch,170 lbs.,"6' 2"""
Brandon Vera,230 lbs.,"6' 3"""
Brandon Visher,135 lbs.,"5' 6"""
Brandon Wolff,170 lbs.,"5' 9"""
Branko Cikatic,215 lbs.,"6' 1"""
Brendan Allen,185 lbs.,"6' 2"""
Brendan Loughnane,145 lbs.,"5' 10"""
Brendan O'Reilly,170 lbs.,"5' 7"""
Brendan Schaub,245 lbs.,"6' 4"""
Brendan Seguin,185 lbs.,"6' 0"""
Brennan Ward,170 lbs.,"5' 10"""
Brent Primus,155 lbs.,"5' 10"""
Bret Bergmark,170 lbs.,"5' 9"""
Brett Albee,225 lbs.,
Brett Cooper,170 lbs.,"6' 0"""
Brett Johns,135 lbs.,"5' 7"""
Brett Rogers,265 lbs.,"6' 5"""
Brett Tillis,145 lbs.,
Brian Bowles,135 lbs.,"5' 7"""
Brian Camozzi,170 lbs.,"6' 2"""
Brian Cobb,155 lbs.,"5' 11"""
Brian Davidson,145 lbs.,"5' 6"""
Brian Ebersole,170 lbs.,"6' 0"""
Brian Foster,170 lbs.,"5' 9"""
Brian Gassaway,170 lbs.,"6' 1"""
Brian Geraghty,155 lbs.,"5' 7"""
Brian Houston,185 lbs.,"6' 2"""
Brian Johnston,230 lbs.,"6' 3"""
Brian Kelleher,135 lbs.,"5' 6"""
Brian Lo-A-Njoe,155 lbs.,"5' 7"""
Brian McLaughlin,155 lbs.,"5' 9"""
