fighter_name,Weight,Height
Hayder Hassan,170 lbs.,"5' 10"""
He-Man Gipson,,
Heath Herring,250 lbs.,"6' 4"""
Heather Jo Clark,115 lbs.,"5' 6"""
Hector Aldana,170 lbs.,"5' 11"""
Hector Lombard,185 lbs.,"5' 9"""
Hector Ramirez,205 lbs.,"6' 0"""
Hector Sandoval,125 lbs.,"5' 2"""
Hector Urbina,170 lbs.,"5' 11"""
Helio Dipp,185 lbs.,"6' 5"""
Henrique da Silva,205 lbs.,"6' 3"""
Henry Briones,135 lbs.,"5' 8"""
Henry Cejudo,135 lbs.,"5' 4"""
Henry Corrales,145 lbs.,"5' 9"""
Henry Martinez,155 lbs.,"5' 7"""
Henry Miller,270 lbs.,"5' 7"""
Herman Renting,215 lbs.,"6' 0"""
Herman Terrado,170 lbs.,
Hermes Franca,155 lbs.,"5' 6"""
Hernani Perpetuo,170 lbs.,"6' 0"""
Herschel Walker,215 lbs.,"6' 1"""
Hidehiko Hasegawa,170 lbs.,"5' 9"""
Hidehiko Yoshida,225 lbs.,"5' 11"""
Hideo Tokoro,135 lbs.,"5' 7"""
Hidetaka Monma,168 lbs.,"6' 0"""
Hiroko Yamanaka,135 lbs.,"5' 11"""
Hiromitsu Kanehara,200 lbs.,"5' 10"""
Hiromitsu Miura,170 lbs.,"5' 9"""
Hiroshi Izumi,205 lbs.,
Hirotaka Yokoi,205 lbs.,"5' 11"""
Hiroyuki Abe,145 lbs.,"5' 6"""
Hiroyuki Takaya,139 lbs.,"5' 6"""
Hisaki Kato,185 lbs.,"6' 0"""
Hitomi Akano,135 lbs.,"5' 4"""
Holly Holm,145 lbs.,"5' 8"""
Homer Moore,205 lbs.,"5' 10"""
Hong Man Choi,330 lbs.,"7' 2"""
Horacio Gutierrez,145 lbs.,"5' 10"""
Houston Alexander,205 lbs.,"6' 0"""
Houston Dorr,210 lbs.,"6' 1"""
Hu Yaozong,205 lbs.,"6' 3"""
Hugh Pulley,155 lbs.,"6' 0"""
Hugo Duarte,240 lbs.,"6' 0"""
Hugo Govea,,
Hugo Sandoval,135 lbs.,
Hugo Viana,135 lbs.,"5' 6"""
Humberto Bandenay,145 lbs.,"5' 11"""
Humberto Brown,145 lbs.,"5' 10"""
Humberto DeLeon,135 lbs.,
Hunter Worsham,185 lbs.,
Hussain Rasouli,135 lbs.,"5' 6"""
Hyun Gyu Lim,170 lbs.,"6' 3"""
Ian Butler,155 lbs.,"5' 8"""
Ian Entwistle,135 lbs.,"5' 5"""
Ian Freeman,225 lbs.,"5' 11"""
Ian Heinisch,185 lbs.,"5' 11"""
Ian Loveland,145 lbs.,"5' 8"""
Ian McCall,125 lbs.,"5' 5"""
Ian Murphy,185 lbs.,"6' 1"""
Ian Rammel,185 lbs.,"6' 0"""
Ibragim Magomedov,250 lbs.,"6' 0"""
Icho Larenas,235 lbs.,"6' 3"""
Ido Pariente,155 lbs.,"5' 8"""
Idris Wasi,186 lbs.,"6' 0"""
Igor Araujo,170 lbs.,"6' 1"""
Igor Borisov,235 lbs.,"6' 0"""
Igor Gracie,170 lbs.,"5' 11"""
Igor Pokrajac,205 lbs.,"6' 0"""
Igor Vovchanchyn,205 lbs.,"5' 8"""
Igor Zinoviev,199 lbs.,"6' 1"""
Ikuhisa Minowa,181 lbs.,"5' 9"""
Ildemar Alcantara,185 lbs.,"6' 2"""
Iliarde Santos,125 lbs.,"5' 5"""
Ilima Macfarlane,125 lbs.,"5' 4"""
Ilir Latifi,205 lbs.,"5' 10"""
Ilya Kotau,170 lbs.,
Imani Lee,,
Ion Cherdivara,205 lbs.,
Ion Cutelaba,205 lbs.,"6' 1"""
Iony Razafiarison,145 lbs.,"5' 3"""
Iouri Kotchkine,235 lbs.,"6' 2"""
Irene Aldana,135 lbs.,"5' 9"""
Isaac Vallie-Flagg,155 lbs.,"5' 8"""
Isaiah Hill,155 lbs.,"5' 10"""
Isao Kobayashi,145 lbs.,"5' 8"""
Islam Makhachev,155 lbs.,"5' 10"""
Ismail Naurdiev,170 lbs.,"5' 10"""
Israel Adesanya,185 lbs.,"6' 4"""
Israel Albuquerque,185 lbs.,
Israel Delgado,155 lbs.,"5' 10"""
Israel Giron,155 lbs.,"5' 8"""
Issac DeJesus,145 lbs.,
Issei Tamura,135 lbs.,"5' 5"""
Iuri Alcantara,135 lbs.,"5' 9"""
Ivan Cole,135 lbs.,"5' 9"""
Ivan Jorge,155 lbs.,"5' 9"""
Ivan Lopez,135 lbs.,"5' 6"""
Ivan Menjivar,145 lbs.,"5' 6"""
Ivan Salaverry,185 lbs.,"6' 0"""
Ivan Serati,205 lbs.,"6' 0"""
Ivan Shtyrkov,205 lbs.,"6' 0"""
Izabela Badurek,115 lbs.,"5' 5"""
J.T Taylor,,"5' 10"""
JC Cottrell,155 lbs.,"5' 9"""
JJ Aldrich,125 lbs.,"5' 5"""
JJ Ambrose,170 lbs.,"5' 10"""
JJ Okanovich,155 lbs.,"5' 11"""
JP Buys,125 lbs.,"5' 6"""
JP Felty,170 lbs.,
JR Coughran,145 lbs.,"5' 6"""
JW Wright,130 lbs.,
Jacare Souza,185 lbs.,"6' 1"""
Jack Hermansson,185 lbs.,"6' 1"""
Jack Marshman,185 lbs.,"6' 0"""
Jack May,255 lbs.,"6' 8"""
Jack McGlaughlin,,
Jack Morrison,205 lbs.,"5' 11"""
Jack Nilson,,
Jack Shore,135 lbs.,"5' 9"""
Jackie Lee,,
Jacob Kilburn,145 lbs.,"5' 9"""
Jacob Noe,205 lbs.,
Jacob Rosales,155 lbs.,"5' 11"""
Jacob Volkmann,155 lbs.,"5' 9"""
Jadson Costa,155 lbs.,"5' 7"""
Jae Suk Lim,170 lbs.,"5' 9"""
Jaime Alvarez,125 lbs.,"5' 8"""
Jaime Jara,205 lbs.,"6' 1"""
Jaimee Nievera,125 lbs.,"5' 5"""
Jairzinho Rozenstruik,242 lbs.,"6' 4"""
Jake Collier,205 lbs.,"6' 3"""
Jake Ellenberger,170 lbs.,"5' 9"""
Jake Hecht,170 lbs.,"6' 0"""
Jake Lindsey,155 lbs.,"5' 11"""
Jake Matthews,170 lbs.,"5' 11"""
Jake O'Brien,205 lbs.,"6' 3"""
Jake Rosholt,185 lbs.,"6' 1"""
Jake Shields,170 lbs.,"6' 0"""
Jakob Lovstad,205 lbs.,"6' 3"""
Jalin Turner,155 lbs.,"6' 3"""
Jamahal Hill,250 lbs.,"6' 4"""
Jamall Emmers,145 lbs.,"5' 10"""
Jameel Massouh,145 lbs.,"5' 10"""
Jamelle Jones,205 lbs.,"6' 0"""
James Barnes,145 lbs.,"5' 8"""
James Bochnovic,205 lbs.,"6' 4"""
James Gabert,178 lbs.,
James Giboo,170 lbs.,"5' 11"""
James Gray,135 lbs.,"5' 9"""
James Hammortree,185 lbs.,"6' 3"""
James Head,170 lbs.,"6' 1"""
James Irvin,205 lbs.,"6' 2"""
James Krause,170 lbs.,"6' 2"""
James Lee,205 lbs.,"5' 11"""
James McSweeney,230 lbs.,"6' 4"""
James Moontasri,170 lbs.,"5' 10"""
James Mulheron,243 lbs.,"5' 10"""
James Reese,155 lbs.,"5' 9"""
James Te Huna,185 lbs.,"6' 2"""
James Terry,170 lbs.,"5' 10"""
James Thompson,265 lbs.,"6' 5"""
James Toney,220 lbs.,"5' 9"""
James Vick,155 lbs.,"6' 3"""
James Wade,205 lbs.,"5' 10"""
James Wallace,155 lbs.,"5' 10"""
James Wilks,170 lbs.,"6' 1"""
James Zikic,205 lbs.,"6' 2"""
Jamie Colleen,115 lbs.,"5' 3"""
Jamie Houston,185 lbs.,
Jamie Moyle,115 lbs.,"5' 1"""
Jamie Pickett,185 lbs.,"6' 2"""
Jamie Varner,155 lbs.,"5' 8"""
Jamie Yager,185 lbs.,"6' 1"""
Jan Blachowicz,205 lbs.,"6' 2"""
Jan Finney,135 lbs.,"5' 8"""
Jan Nortje,310 lbs.,"6' 1"""
Janay Harding,135 lbs.,
Jared Cannonier,185 lbs.,"5' 11"""
Jared Chaffee,155 lbs.,"5' 10"""
Jared Gordon,155 lbs.,"5' 9"""
Jared Hamman,185 lbs.,"6' 3"""
Jared Papazian,135 lbs.,"5' 8"""
Jared Rollins,170 lbs.,"5' 9"""
Jared Rosholt,265 lbs.,"6' 2"""
Jarjis Danho,265 lbs.,"6' 3"""
Jarred Brooks,125 lbs.,"5' 3"""
Jarrod Kwitty,185 lbs.,"5' 8"""
Jason Black,155 lbs.,"5' 8"""
Jason Blackford,,
Jason Brilz,205 lbs.,"5' 11"""
Jason Butcher,185 lbs.,"6' 3"""
Jason Day,185 lbs.,"6' 0"""
Jason DeLucia,190 lbs.,"5' 11"""
Jason Dent,155 lbs.,"5' 10"""
Jason Fairn,230 lbs.,"6' 1"""
Jason Freeman,225 lbs.,"6' 2"""
Jason Gilliam,170 lbs.,"6' 0"""
Jason Glaza,230 lbs.,"6' 0"""
Jason Godsey,230 lbs.,"6' 2"""
Jason Gonzalez,155 lbs.,"6' 2"""
Jason Guida,214 lbs.,"5' 10"""
Jason High,155 lbs.,"5' 8"""
Jason Ireland,161 lbs.,"5' 9"""
Jason Jackson,170 lbs.,"6' 1"""
Jason Knight,145 lbs.,"5' 10"""
Jason Lambert,185 lbs.,"6' 3"""
Jason MacDonald,185 lbs.,"6' 3"""
Jason McLean,145 lbs.,"5' 5"""
Jason Medina,180 lbs.,"5' 9"""
Jason Miller,185 lbs.,"6' 1"""
Jason Novelli,155 lbs.,"6' 0"""
Jason Reinhardt,135 lbs.,"5' 6"""
Jason Riley,245 lbs.,"6' 6"""
Jason Saggo,155 lbs.,"5' 11"""
Jason Sharp,205 lbs.,
Jason Suttie,210 lbs.,"6' 0"""
Jason Tan,170 lbs.,"5' 10"""
Jason Thacker,185 lbs.,"5' 10"""
Jason Von Flue,170 lbs.,"6' 0"""
Jason Young,145 lbs.,"5' 9"""
Javi Alanis,135 lbs.,"5' 6"""
Javier Vazquez,145 lbs.,"5' 7"""
Javy Ayala,265 lbs.,"6' 1"""
Jay Bogan,145 lbs.,
Jay Cucciniello,155 lbs.,"5' 7"""
Jay Hieron,170 lbs.,"6' 0"""
Jay Silva,185 lbs.,"6' 2"""
Jean Francois Lenogue,185 lbs.,"6' 0"""
Jean Silva,160 lbs.,"5' 6"""
Jeff Bedard,145 lbs.,"5' 6"""
Jeff Cox,155 lbs.,"5' 10"""
Jeff Crotty,155 lbs.,
Jeff Curran,135 lbs.,"5' 6"""
Jeff Hougland,135 lbs.,"5' 7"""
Jeff Hughes,250 lbs.,"6' 2"""
Jeff Joslin,170 lbs.,"6' 0"""
Jeff Monson,247 lbs.,"5' 9"""
Jeff Newton,205 lbs.,"6' 2"""
Jeff Terry,205 lbs.,"6' 2"""
Jeimeson Saudino,135 lbs.,"5' 6"""
Jenel Lausa,125 lbs.,"5' 5"""
Jenna Castillo,125 lbs.,"5' 2"""
Jennifer Maia,125 lbs.,"5' 4"""
Jens Pulver,145 lbs.,"5' 7"""
Jeremiah Billington,205 lbs.,"5' 9"""
Jeremiah Constant,240 lbs.,"6' 1"""
Jeremiah Labiano,135 lbs.,"5' 10"""
Jeremiah Metcalf,185 lbs.,"6' 1"""
Jeremiah O'Neal,260 lbs.,"5' 8"""
Jeremiah Riggs,185 lbs.,"6' 0"""
Jeremie Holloway,170 lbs.,"6' 0"""
Jeremy Boczulak,,
Jeremy Hamilton,185 lbs.,
Jeremy Horn,185 lbs.,"6' 1"""
Jeremy Jackson,170 lbs.,"5' 10"""
Jeremy Kennedy,145 lbs.,"5' 11"""
Jeremy Kimball,205 lbs.,"6' 0"""
Jeremy Lang,205 lbs.,"5' 11"""
Jeremy Larsen,145 lbs.,"5' 10"""
Jeremy Malaterre,155 lbs.,"5' 11"""
Jeremy May,185 lbs.,"6' 1"""
Jeremy Stephens,145 lbs.,"5' 8"""
Jeremy Tavares,135 lbs.,
Jeremy Umphries,160 lbs.,
Jeremy Wallace,,"5' 9"""
Jeri Sitzes,125 lbs.,"5' 5"""
Jermaine Andre,200 lbs.,"5' 7"""
Jerome LeBanner,265 lbs.,"6' 3"""
Jerrel Venetiaan,195 lbs.,"6' 1"""
Jerrod Sanders,135 lbs.,"5' 8"""
Jerron Peoples,170 lbs.,"6' 0"""
Jerry Bohlander,199 lbs.,"5' 11"""
Jess Bouscal,155 lbs.,
Jess Liaudin,170 lbs.,"5' 9"""
Jessamyn Duke,135 lbs.,"5' 11"""
Jesse Bongfeldt,185 lbs.,"6' 0"""
Jesse Finney,170 lbs.,"6' 0"""
Jesse Forbes,185 lbs.,"6' 2"""
Jesse Fujarczyk,225 lbs.,"6' 4"""
Jesse Gillespie,185 lbs.,
Jesse Jones,170 lbs.,"5' 9"""
Jesse Juarez,170 lbs.,"6' 1"""
Jesse Lennox,170 lbs.,"5' 9"""
Jesse Moreng,145 lbs.,"5' 7"""
Jesse Ronson,155 lbs.,"5' 10"""
Jesse Sanders,170 lbs.,"6' 0"""
Jesse Taylor,170 lbs.,"6' 0"""
Jessica Aguilar,115 lbs.,"5' 3"""
Jessica Andrade,115 lbs.,"5' 1"""
Jessica Eye,125 lbs.,"5' 6"""
Jessica Penne,115 lbs.,"5' 5"""
Jessica Rakoczy,115 lbs.,"5' 7"""
Jessica-Rose Clark,125 lbs.,"5' 5"""
Jessin Ayari,155 lbs.,"6' 0"""
Jesus Pinedo,155 lbs.,"5' 10"""
Ji Yeon Kim,125 lbs.,"5' 7"""
Jianping Yang,145 lbs.,"5' 7"""
Jim Alers,145 lbs.,"5' 9"""
Jim Miller,155 lbs.,"5' 8"""
Jim Mullen,215 lbs.,"6' 1"""
Jimi Manuwa,205 lbs.,"6' 1"""
Jimmie Rivera,135 lbs.,"5' 4"""
Jimmy Ambriz,315 lbs.,"6' 2"""
Jimmy Crute,205 lbs.,"6' 2"""
Jimmy Quinlan,185 lbs.,"6' 0"""
Jimmy Wallhead,170 lbs.,"5' 10"""
Jimy Hettes,145 lbs.,"5' 9"""
Jin Oh Kim,205 lbs.,"5' 9"""
Jin Soo Son,135 lbs.,"5' 6"""
Joachim Christensen,205 lbs.,"6' 3"""
Joachim Hansen,150 lbs.,"5' 7"""
Joanna Jedrzejczyk,125 lbs.,"5' 6"""
Joanne Calderwood,125 lbs.,"5' 6"""
Joao Paulo Faria,155 lbs.,"5' 9"""
Joao Pierini,155 lbs.,"6' 1"""
Joao Roque,155 lbs.,"5' 6"""
Joao Zeferino,170 lbs.,"5' 11"""
Joaquim Silva,155 lbs.,"5' 8"""
Joby Sanchez,135 lbs.,"5' 6"""
Jocelyn Jones-Lybarger,115 lbs.,"5' 7"""
Jodie Esquibel,115 lbs.,"5' 1"""
Joe Benoit,170 lbs.,"5' 9"""
Joe Brammer,155 lbs.,"5' 8"""
Joe Camacho,155 lbs.,"5' 9"""
Joe Cason,205 lbs.,"6' 3"""
Joe Charles,260 lbs.,"6' 1"""
Joe Doerksen,185 lbs.,"6' 0"""
Joe Duarte,155 lbs.,
Joe Duffy,155 lbs.,"5' 10"""
Joe Ellenberger,155 lbs.,"5' 9"""
Joe Giannetti,155 lbs.,"6' 0"""
Joe Gigliotti,185 lbs.,"5' 11"""
Joe Hernandez,,
Joe Hurley,155 lbs.,"5' 8"""
Joe Jordan,155 lbs.,"5' 6"""
Joe Lauzon,155 lbs.,"5' 10"""
Joe Lowry,155 lbs.,"5' 10"""
Joe Martin,170 lbs.,"5' 9"""
Joe Merritt,170 lbs.,"6' 0"""
Joe Moreira,195 lbs.,"5' 11"""
Joe Neal,135 lbs.,"5' 6"""
Joe Pardo,210 lbs.,"6' 1"""
Joe Pearson,145 lbs.,"5' 10"""
Joe Proctor,155 lbs.,"5' 10"""
Joe Ray,170 lbs.,
Joe Riggs,185 lbs.,"6' 0"""
Joe Schilling,185 lbs.,"6' 3"""
Joe Slick,199 lbs.,"6' 0"""
Joe Son,236 lbs.,"5' 4"""
Joe Soto,135 lbs.,"5' 6"""
Joe Stevenson,145 lbs.,"5' 7"""
Joe Taimanglo,135 lbs.,"5' 4"""
Joe Vedepo,185 lbs.,"6' 0"""
Joe Veres,155 lbs.,"5' 7"""
Joe Warren,135 lbs.,"5' 6"""
Joe Wilk,145 lbs.,"5' 9"""
Joel Alvarez,155 lbs.,"6' 3"""
Joel Sutton,205 lbs.,"5' 11"""
Joel Thomas ,170 lbs.,"5' 10"""
Joey Armstrong,,
Joey Beltran,185 lbs.,"6' 1"""
Joey Gambino,145 lbs.,"5' 7"""
Joey Gilbert,155 lbs.,"5' 11"""
Joey Gomez,155 lbs.,"5' 10"""
Joey Roberts,200 lbs.,"6' 2"""
Joey Villasenor,185 lbs.,"6' 0"""
Johil de Oliveira,170 lbs.,"5' 6"""
John Albert,135 lbs.,"5' 8"""
John Alessio,155 lbs.,"5' 10"""
John Allan,205 lbs.,"6' 1"""
John Campetella,235 lbs.,"5' 9"""
John Castaneda,135 lbs.,"5' 7"""
John Cholish,155 lbs.,"5' 11"""
John Clarke,170 lbs.,
John Cofer,155 lbs.,"5' 9"""
John Devine,,
John Dixson,275 lbs.,"6' 0"""
John Dodson,135 lbs.,"5' 3"""
John Donaldson,145 lbs.,"5' 8"""
John Dowdy,,
John Doyle,205 lbs.,"5' 11"""
John Elam,,
John Franchi,145 lbs.,"5' 6"""
John Gunderson,155 lbs.,"5' 9"""
John Gunther,155 lbs.,"5' 9"""
John Halverson,155 lbs.,"5' 9"""
John Hathaway,170 lbs.,"6' 1"""
John Hosman,135 lbs.,"5' 10"""
John Howard,170 lbs.,"5' 7"""
John Kelly,170 lbs.,"5' 9"""
John Kolosci,185 lbs.,"5' 11"""
John Kuhner,170 lbs.,
John Lewis,155 lbs.,"6' 0"""
John Lineker,135 lbs.,"5' 3"""
John Lober,199 lbs.,"5' 11"""
John Maguire,155 lbs.,"5' 9"""
John Makdessi,155 lbs.,"5' 8"""
John Marsh,265 lbs.,"6' 0"""
John Matua,400 lbs.,"6' 2"""
John Moraga,125 lbs.,"5' 6"""
John Paul Elias,205 lbs.,"6' 4"""
John Phillips,185 lbs.,"5' 11"""
John Polakowski,155 lbs.,"5' 10"""
John Reedy,155 lbs.,"5' 8"""
John Renken,190 lbs.,"6' 0"""
John Richard,205 lbs.,
John Salgado,170 lbs.,"5' 10"""
John Salter,185 lbs.,"6' 1"""
John Teixeira,145 lbs.,"5' 7"""
John Yoo,135 lbs.,
Johnny Bedford,135 lbs.,"5' 10"""
Johnny Case,155 lbs.,"5' 10"""
Johnny Cisneros,170 lbs.,"5' 11"""
Johnny Eduardo,135 lbs.,"5' 7"""
Johnny Rees,170 lbs.,"6' 0"""
Johnny Rhodes,210 lbs.,"6' 0"""
Johnny Sampaio,170 lbs.,"5' 8"""
Johnny Walker,205 lbs.,"6' 5"""
Johny Hendricks,185 lbs.,"5' 9"""
Jon Delos Reyes,125 lbs.,"5' 6"""
Jon Fitch,170 lbs.,"6' 0"""
Jon Hess,295 lbs.,"6' 7"""
Jon Jones,205 lbs.,"6' 4"""
Jon Koppenhaver,170 lbs.,"5' 11"""
Jon Madsen,240 lbs.,"6' 0"""
Jon Manley,170 lbs.,"6' 1"""
Jon Murphy,260 lbs.,"6' 3"""
Jon Olav Einemo,253 lbs.,"6' 6"""
Jon Tuck,155 lbs.,"5' 11"""
Jonatas Novaes,170 lbs.,"5' 11"""
Jonathan  Mix,168 lbs.,"6' 0"""
Jonathan Brookins,145 lbs.,"6' 0"""
Jonathan Contrestano,155 lbs.,
Jonathan Goulet,170 lbs.,"6' 0"""
Jonathan Martinez,135 lbs.,"5' 8"""
Jonathan Meunier,170 lbs.,"6' 3"""
Jonathan Pearce,155 lbs.,"6' 0"""
Jonathan Rivera,155 lbs.,
Jonathan Santa Maria,125 lbs.,"5' 9"""
Jonathan Wiezorek,250 lbs.,"6' 3"""
Jonathan Wilson,205 lbs.,"6' 2"""
Jonavin Webb,170 lbs.,"5' 10"""
Jong Man Kim,139 lbs.,"5' 7"""
Jong Wang Kim,240 lbs.,"6' 1"""
Jong Won Kim,139 lbs.,"5' 7"""
Jonny Carson,155 lbs.,"5' 10"""
Jonny Goh,155 lbs.,"5' 11"""
Jordan Bailey,145 lbs.,"5' 9"""
Jordan Dowdy,170 lbs.,
Jordan Espinosa,125 lbs.,"5' 6"""
Jordan Goodwin,155 lbs.,
Jordan Griffin,145 lbs.,"5' 10"""
Jordan Johnson,205 lbs.,"6' 2"""
Jordan Mein,170 lbs.,"6' 0"""
Jordan Parsons,145 lbs.,"5' 9"""
Jordan Radev,185 lbs.,"5' 7"""
Jordan Rinaldi,145 lbs.,"5' 10"""
Jordan Williams,170 lbs.,"6' 0"""
Jordan Wright,185 lbs.,"6' 2"""
Jorge Gurgel,155 lbs.,"5' 7"""
Jorge Interiano,205 lbs.,"6' 1"""
Jorge Lopez,170 lbs.,"5' 10"""
Jorge Masvidal,170 lbs.,"5' 11"""
Jorge Oliveira,205 lbs.,"6' 1"""
Jorge Ortiz,185 lbs.,"6' 0"""
Jorge Patino,170 lbs.,"5' 8"""
Jorge Rivera,185 lbs.,"6' 1"""
Jorge Santiago,170 lbs.,"6' 1"""
Jorge de Oliveira,155 lbs.,"5' 8"""
Jorgen Kruth,205 lbs.,"6' 2"""
Jose Aldo,145 lbs.,"5' 7"""
Jose Barreto,185 lbs.,
Jose Canseco,240 lbs.,"6' 4"""
Jose Landi-Jons,170 lbs.,"5' 11"""
Jose Maria,125 lbs.,"5' 5"""
Jose Palacios,145 lbs.,"5' 9"""
Jose Perez,,
Jose Quinonez,135 lbs.,"5' 8"""
Jose Santibanez,155 lbs.,
Jose Torres,125 lbs.,"5' 4"""
Joseph Benavidez,125 lbs.,"5' 4"""
Joseph Morales,125 lbs.,"5' 6"""
Joseph Sandoval,135 lbs.,"5' 7"""
Joseph Solecki,155 lbs.,"5' 9"""
Josh Appelt,255 lbs.,"5' 10"""
Josh Barnett,250 lbs.,"6' 3"""
Josh Bennett,259 lbs.,"6' 4"""
Josh Bryant,185 lbs.,"5' 10"""
Josh Bumgarner,170 lbs.,"6' 1"""
Josh Burns,244 lbs.,"6' 1"""
Josh Clopton,145 lbs.,"5' 6"""
Josh Copeland,265 lbs.,"6' 1"""
Josh Diekmann,246 lbs.,"5' 4"""
Josh Emmett,145 lbs.,"5' 6"""
Josh Epps,130 lbs.,
Josh Ferguson,125 lbs.,"5' 5"""
Josh Grispi,145 lbs.,"5' 11"""
Josh Haynes,170 lbs.,"5' 9"""
Josh Hendricks,235 lbs.,"6' 2"""
Josh Janousek,185 lbs.,"5' 11"""
Josh Jarvis,,
Josh Koscheck,170 lbs.,"5' 10"""
Josh LaBerge,145 lbs.,"5' 10"""
Josh McDonald,185 lbs.,
Josh Neal,185 lbs.,"6' 0"""
Josh Neer,170 lbs.,"5' 11"""
Josh Paiva,125 lbs.,"5' 6"""
Josh Parisian,265 lbs.,"6' 4"""
Josh Pulsifer,145 lbs.,"5' 10"""
Josh Rafferty,170 lbs.,"6' 0"""
Josh Samman,185 lbs.,"6' 3"""
Josh San Diego,135 lbs.,"5' 10"""
Josh Shockley,155 lbs.,"6' 1"""
Josh Shockman,235 lbs.,"6' 4"""
Josh Smith,155 lbs.,"6' 0"""
Josh Stansbury,205 lbs.,"6' 2"""
Josh Stuart,160 lbs.,"5' 9"""
Josh Thomson,155 lbs.,"5' 10"""
Josh Thornburg,170 lbs.,"6' 0"""
Joshua Burkman,170 lbs.,"5' 10"""
Joshua Sampo,125 lbs.,"5' 4"""
Journey Newson,135 lbs.,
Juan Adams,265 lbs.,"6' 5"""
Juan Alcain,,
Juan Espino,250 lbs.,"6' 4"""
Juan Miranda,155 lbs.,
Juan Mott,190 lbs.,"6' 0"""
Juan Puig,145 lbs.,"5' 9"""
Jules Bruchez,205 lbs.,"6' 0"""
Julia Avila,135 lbs.,"5' 4"""
Julia Budd,145 lbs.,"5' 7"""
Julian Erosa,145 lbs.,"6' 1"""
Julian Marquez,185 lbs.,"6' 2"""
Julian Sanchez,300 lbs.,"6' 3"""
Juliana Lima,115 lbs.,"5' 5"""
Julianna Pena,135 lbs.,"5' 6"""
Julie Kedzie,135 lbs.,"5' 5"""
Julija Stoliarenko,145 lbs.,"5' 7"""
Julio Arce,145 lbs.,"5' 7"""
Julio Cesar Neves Jr.,145 lbs.,"5' 8"""
Julio Paulino,170 lbs.,"6' 0"""
Jumabieke Tuerxun,135 lbs.,"5' 7"""
Jun Yong Park,170 lbs.,"6' 0"""
Junie Browning,155 lbs.,"5' 9"""
Junior Albini,264 lbs.,"6' 3"""
Junior Assuncao,145 lbs.,"5' 9"""
Junior Barata,170 lbs.,"5' 10"""
Junior Dos Santos,238 lbs.,"6' 4"""
Junior Hernandez,135 lbs.,"5' 9"""
Junya Kudo,135 lbs.,
Jussier Formiga,125 lbs.,"5' 5"""
Justin Bruckmann,170 lbs.,"5' 9"""
Justin Buchholz,155 lbs.,"6' 0"""
Justin Davis,205 lbs.,"5' 11"""
Justin DeMoney,170 lbs.,
Justin Edwards,155 lbs.,"5' 10"""
Justin Eilers,235 lbs.,"6' 1"""
Justin Frazier,265 lbs.,"6' 0"""
Justin Gaethje,155 lbs.,"5' 11"""
Justin Gonzales,145 lbs.,"5' 9"""
Justin Governale,145 lbs.,
Justin Guthrie,170 lbs.,"6' 1"""
Justin Haskins,170 lbs.,"5' 10"""
Justin Hawes,205 lbs.,"5' 11"""
Justin James,155 lbs.,"5' 10"""
Justin Jones,185 lbs.,"5' 11"""
Justin Lawrence,145 lbs.,"5' 8"""
Justin Ledet,205 lbs.,"6' 4"""
Justin Levens,185 lbs.,"5' 11"""
Justin Martin,185 lbs.,"6' 0"""
Justin McCully,225 lbs.,"6' 1"""
Justin McElfresh,205 lbs.,"6' 6"""
Justin Patterson,170 lbs.,"5' 10"""
Justin Pennington,,"5' 4"""
Justin Robbins,135 lbs.,"5' 5"""
Justin Salas,155 lbs.,"5' 8"""
Justin Scoggins,125 lbs.,"5' 7"""
Justin Smitley,145 lbs.,
Justin Sumter,185 lbs.,"6' 2"""
Justin Wilcox,155 lbs.,"5' 6"""
Justin Willis,264 lbs.,"6' 1"""
Justin Wren,265 lbs.,"6' 2"""
Justine Kish,125 lbs.,"5' 5"""
Jutaro Nakao,170 lbs.,"5' 9"""
KJ Noons,155 lbs.,"5' 10"""
Kai Kara-France,125 lbs.,"5' 5"""
Kailin Curran,115 lbs.,"5' 4"""
Kain Royer,185 lbs.,
Kaitlin Young,135 lbs.,"5' 9"""
Kajan Johnson,155 lbs.,"5' 11"""
Kaleo Kwan,155 lbs.,"5' 7"""
Kali Robbins,115 lbs.,"5' 3"""
Kalib Starnes,185 lbs.,"6' 3"""
Kalindra Faria,125 lbs.,"5' 7"""
Kaline Medeiros,115 lbs.,"5' 3"""
Kamal Shalorus,155 lbs.,"5' 8"""
Kamaru Usman,170 lbs.,"6' 0"""
Kamuela Kirk,145 lbs.,"5' 9"""
Karen Darabedyan,155 lbs.,"5' 7"""
Karine Gevorgyan,125 lbs.,"5' 4"""
Karl Amoussou,185 lbs.,"5' 11"""
Karl Reed,205 lbs.,"6' 3"""
Karl Roberson,205 lbs.,"6' 1"""
Karl Willis,,
Karla Benitez,113 lbs.,"5' 3"""
Karlos Vemola,185 lbs.,"6' 0"""
Karo Parisyan,170 lbs.,"5' 10"""
Karol Rosa,135 lbs.,"5' 6"""
Karolina Kowalkiewicz,115 lbs.,"5' 3"""
Katlyn Chookagian,125 lbs.,"5' 9"""
Katsuhiko Nagata,154 lbs.,"5' 7"""
Katsuhisa Fujii,205 lbs.,"6' 0"""
Katsunori Kikuno,145 lbs.,"5' 8"""
Katsuya Inoue,168 lbs.,"5' 9"""
Katsuyori Shibata,168 lbs.,"6' 0"""
Kazuhiro Hamanaka,185 lbs.,"6' 0"""
Kazuhiro Nakamura,205 lbs.,"5' 11"""
